Name,City,Country Code,Days,Start,End
sj omogari korean restaurant san jose,San Jose,US,0,1130,1500
sj omogari korean restaurant san jose,San Jose,US,0,1700,2100
sj omogari korean restaurant san jose,San Jose,US,1,1130,1500
sj omogari korean restaurant san jose,San Jose,US,1,1700,2100
sj omogari korean restaurant san jose,San Jose,US,2,1130,1500
sj omogari korean restaurant san jose,San Jose,US,2,1700,2100
sj omogari korean restaurant san jose,San Jose,US,3,1130,1500
sj omogari korean restaurant san jose,San Jose,US,3,1700,2100
sj omogari korean restaurant san jose,San Jose,US,4,1130,1500
sj omogari korean restaurant san jose,San Jose,US,4,1700,2100
sj omogari korean restaurant san jose,San Jose,US,5,1130,2100
