Name,City,Country Code,Days,Start,End
sushi ginza onodera new york,New York,US,0,1200,1330
sushi ginza onodera new york,New York,US,0,1800,2030
sushi ginza onodera new york,New York,US,1,1200,1330
sushi ginza onodera new york,New York,US,1,1800,2030
sushi ginza onodera new york,New York,US,2,1200,1330
sushi ginza onodera new york,New York,US,2,1800,2030
sushi ginza onodera new york,New York,US,3,1200,1330
sushi ginza onodera new york,New York,US,3,1800,2030
sushi ginza onodera new york,New York,US,4,1200,1330
sushi ginza onodera new york,New York,US,4,1800,2030
sushi ginza onodera new york,New York,US,5,1800,2030
