Name,City,Country Code,Days,Start,End
sushi kanpai seattle,Seattle,US,0,1100,1430
sushi kanpai seattle,Seattle,US,0,1600,2100
sushi kanpai seattle,Seattle,US,1,1100,1430
sushi kanpai seattle,Seattle,US,1,1600,2100
sushi kanpai seattle,Seattle,US,2,1100,1430
sushi kanpai seattle,Seattle,US,2,1600,2100
sushi kanpai seattle,Seattle,US,3,1100,1430
sushi kanpai seattle,Seattle,US,3,1600,2100
sushi kanpai seattle,Seattle,US,4,1100,1430
sushi kanpai seattle,Seattle,US,4,1600,2100
sushi kanpai seattle,Seattle,US,5,1600,2100
sushi kanpai seattle,Seattle,US,6,1600,2100
