Name,City,Country Code,Days,Start,End
sushi village birmingham,Birmingham,US,0,1100,1530
sushi village birmingham,Birmingham,US,0,1700,2200
sushi village birmingham,Birmingham,US,1,1100,1530
sushi village birmingham,Birmingham,US,1,1700,2200
sushi village birmingham,Birmingham,US,2,1100,1530
sushi village birmingham,Birmingham,US,2,1700,2200
sushi village birmingham,Birmingham,US,3,1100,1530
sushi village birmingham,Birmingham,US,3,1700,2200
sushi village birmingham,Birmingham,US,4,1100,1530
sushi village birmingham,Birmingham,US,4,1700,2300
sushi village birmingham,Birmingham,US,5,1200,2300
sushi village birmingham,Birmingham,US,6,1200,2200
