Name,City,Country Code,Days,Start,End
sweet mango san jose,San Jose,US,0,1100,1430
sweet mango san jose,San Jose,US,0,1630,2100
sweet mango san jose,San Jose,US,2,1100,1430
sweet mango san jose,San Jose,US,2,1630,2100
sweet mango san jose,San Jose,US,3,1100,1430
sweet mango san jose,San Jose,US,3,1630,2100
sweet mango san jose,San Jose,US,4,1100,1430
sweet mango san jose,San Jose,US,4,1630,2130
sweet mango san jose,San Jose,US,5,1100,1430
sweet mango san jose,San Jose,US,5,1630,2130
sweet mango san jose,San Jose,US,6,1100,1430
sweet mango san jose,San Jose,US,6,1630,2100
