Name,City,Country Code,Days,Start,End
tai kee won ton san jose,San Jose,US,0,1030,1430
tai kee won ton san jose,San Jose,US,1,1030,1430
tai kee won ton san jose,San Jose,US,1,1700,2100
tai kee won ton san jose,San Jose,US,2,1030,1430
tai kee won ton san jose,San Jose,US,2,1700,2100
tai kee won ton san jose,San Jose,US,3,1030,1430
tai kee won ton san jose,San Jose,US,3,1700,2100
tai kee won ton san jose,San Jose,US,4,1030,1430
tai kee won ton san jose,San Jose,US,4,1700,2100
tai kee won ton san jose,San Jose,US,5,1030,1430
tai kee won ton san jose,San Jose,US,5,1700,2100
tai kee won ton san jose,San Jose,US,6,1030,1430
tai kee won ton san jose,San Jose,US,6,1700,2100
