Name,City,Country Code,Days,Start,End
tamarind hall san francisco,San Francisco,US,0,1130,1430
tamarind hall san francisco,San Francisco,US,0,1700,2200
tamarind hall san francisco,San Francisco,US,1,1130,1430
tamarind hall san francisco,San Francisco,US,1,1700,2200
tamarind hall san francisco,San Francisco,US,2,1130,1430
tamarind hall san francisco,San Francisco,US,2,1700,2200
tamarind hall san francisco,San Francisco,US,3,1130,1430
tamarind hall san francisco,San Francisco,US,3,1700,2300
tamarind hall san francisco,San Francisco,US,4,1130,1430
tamarind hall san francisco,San Francisco,US,4,1700,0000
tamarind hall san francisco,San Francisco,US,5,1130,0000
tamarind hall san francisco,San Francisco,US,6,1130,2200
