Name,City,Country Code,Days,Start,End
taurinus brazilian steak house san jose,San Jose,US,0,1130,1400
taurinus brazilian steak house san jose,San Jose,US,0,1700,2130
taurinus brazilian steak house san jose,San Jose,US,1,1130,1400
taurinus brazilian steak house san jose,San Jose,US,1,1700,2130
taurinus brazilian steak house san jose,San Jose,US,2,1130,1400
taurinus brazilian steak house san jose,San Jose,US,2,1700,2130
taurinus brazilian steak house san jose,San Jose,US,3,1130,1400
taurinus brazilian steak house san jose,San Jose,US,3,1700,2130
taurinus brazilian steak house san jose,San Jose,US,4,1130,1400
taurinus brazilian steak house san jose,San Jose,US,4,1700,2130
taurinus brazilian steak house san jose,San Jose,US,5,1200,1500
taurinus brazilian steak house san jose,San Jose,US,5,1700,2130
taurinus brazilian steak house san jose,San Jose,US,6,1200,1500
taurinus brazilian steak house san jose,San Jose,US,6,1700,2100
