Name,City,Country Code,Days,Start,End
texas de brazil detroit,Detroit,US,0,1700,2130
texas de brazil detroit,Detroit,US,1,1700,2130
texas de brazil detroit,Detroit,US,2,1100,1430
texas de brazil detroit,Detroit,US,2,1700,2130
texas de brazil detroit,Detroit,US,3,1100,1430
texas de brazil detroit,Detroit,US,3,1700,2130
texas de brazil detroit,Detroit,US,4,1100,1430
texas de brazil detroit,Detroit,US,4,1700,2200
texas de brazil detroit,Detroit,US,5,1600,2200
texas de brazil detroit,Detroit,US,6,1600,2100
