Name,City,Country Code,Days,Start,End
thai bistro houston,Houston,US,0,1100,1500
thai bistro houston,Houston,US,0,1700,2200
thai bistro houston,Houston,US,1,1100,1500
thai bistro houston,Houston,US,1,1700,2200
thai bistro houston,Houston,US,2,1100,1500
thai bistro houston,Houston,US,2,1700,2200
thai bistro houston,Houston,US,3,1100,1500
thai bistro houston,Houston,US,3,1700,2200
thai bistro houston,Houston,US,4,1100,2230
thai bistro houston,Houston,US,5,1200,2230
thai bistro houston,Houston,US,6,1200,2200
