Name,City,Country Code,Days,Start,End
the farm on adderley brooklyn,Brooklyn,US,0,1100,1500
the farm on adderley brooklyn,Brooklyn,US,0,1730,2300
the farm on adderley brooklyn,Brooklyn,US,1,1100,1500
the farm on adderley brooklyn,Brooklyn,US,1,1730,2300
the farm on adderley brooklyn,Brooklyn,US,2,1100,1500
the farm on adderley brooklyn,Brooklyn,US,2,1730,2300
the farm on adderley brooklyn,Brooklyn,US,3,1100,1500
the farm on adderley brooklyn,Brooklyn,US,3,1730,2300
the farm on adderley brooklyn,Brooklyn,US,4,1100,1500
the farm on adderley brooklyn,Brooklyn,US,4,1730,2330
the farm on adderley brooklyn,Brooklyn,US,5,1030,1530
the farm on adderley brooklyn,Brooklyn,US,5,1730,2330
the farm on adderley brooklyn,Brooklyn,US,6,1030,1530
the farm on adderley brooklyn,Brooklyn,US,6,1730,2300
