Organization Group,Department,Total Compensation
Community Health,Public Health,96190.19013988407
Culture & Recreation,Law Library,188424.36222222223
Culture & Recreation,Academy of Sciences,107319.72769230772
Culture & Recreation,Arts Commission,94339.59738764046
Culture & Recreation,War Memorial,76250.06802153432
Culture & Recreation,Asian Art Museum,71401.52006042296
Culture & Recreation,Public Library,70446.35214706267
Culture & Recreation,Fine Arts Museum,44205.439894785
Culture & Recreation,Recreation and Park Commission,38912.85946523496
General Administration & Finance,City Attorney,166082.67756061722
General Administration & Finance,Retirement System,117717.65858902576
General Administration & Finance,General Services Agency - Technology,110783.68015800416
General Administration & Finance,Mayor,110765.39133270322
General Administration & Finance,Controller,104515.23494400663
General Administration & Finance,Ethics Commission,98631.38036585365
General Administration & Finance,Assessor/Recorder,89994.26061397779
General Administration & Finance,City Planning,89022.8769657349
General Administration & Finance,General Services Agency - City Admin,86123.54760941176
General Administration & Finance,Treasurer/Tax Collector,85449.25317039744
General Administration & Finance,Board of Supervisors,78801.34764132553
General Administration & Finance,Health Service System,70016.07113737075
General Administration & Finance,Human Resources,69729.72273740711
General Administration & Finance,Civil Service Commission,67966.75655913979
General Administration & Finance,Elections,20493.166617519513
General City Responsibilities,General Fund Unallocated,15824.151304347826
Human Welfare & Neighborhood Development,Rent Arbitration Board,102181.79394101877
Human Welfare & Neighborhood Development,Child Support Services,100044.07099747473
Human Welfare & Neighborhood Development,Children and Families Commission,96575.3661904762
Human Welfare & Neighborhood Development,Environment,75360.38745183888
Human Welfare & Neighborhood Development,"Children, Youth & Their Families",74304.9332835821
Human Welfare & Neighborhood Development,Human Services,65945.32768862968
Human Welfare & Neighborhood Development,Human Rights Commission,55672.506682692314
Human Welfare & Neighborhood Development,Department of the Status of Women,47968.52290322581
Human Welfare & Neighborhood Development,Community Investment & Infrastructure,42864.05653846154
Human Welfare & Neighborhood Development,Homelessness and Supportive Housing,40771.13027777778
Public Protection,Fire Department,180788.08697909839
Public Protection,Public Defender,147552.1857393653
Public Protection,Police,141263.7017287194
Public Protection,District Attorney,141215.37855711422
Public Protection,Sheriff,140381.5905418719
Public Protection,Department of Emergency Management,127421.75279331942
Public Protection,Adult Probation,100179.75876692802
Public Protection,Superior Court,99315.44936304349
Public Protection,Juvenile Probation,78586.82982313927
"Public Works, Transportation & Commerce",Port,112139.68001718214
"Public Works, Transportation & Commerce",Department of Building Inspection,112051.61518248175
"Public Works, Transportation & Commerce",PUC Water Department,109806.58756692796
"Public Works, Transportation & Commerce",PUC Wastewater Enterprise,108963.58978630706
"Public Works, Transportation & Commerce",Economic and Workforce Development,106112.40943204869
"Public Works, Transportation & Commerce",PUC Hetch Hetchy,105280.81533018866
"Public Works, Transportation & Commerce",PUC Public Utilities Commission,103433.5855062718
"Public Works, Transportation & Commerce",Municipal Transportation Agency,99471.11182204509
"Public Works, Transportation & Commerce",Airport Commission,96191.57823387044
"Public Works, Transportation & Commerce",General Services Agency - Public Works,89741.68256691565
"Public Works, Transportation & Commerce",Board of Appeals,51990.63488888888
"Public Works, Transportation & Commerce",PUC Clean Power,30940.465
