,Awards,Awards_Won,Awards_Nominated,Prime_Awards_Nominated,Oscar_Awards_Nominated,Golden_Globe_Awards_Nominated,BAFTA_Awards_Nominated,Prime_Awards_won,Oscar_Awards_won,Golden_Globe_Awards_won,BAFTA_Awards_won
0,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
1,1 win.,1,0,0,0,0,0,0,0,0,0
2,1 nomination.,0,1,0,0,0,0,0,0,0,0
3,3 wins & 2 nominations.,3,2,0,0,0,0,0,0,0,0
4,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
5,5 nominations.,0,5,0,0,0,0,0,0,0,0
6,2 wins & 5 nominations.,2,5,0,0,0,0,0,0,0,0
7,Nominated for 1 Oscar. Another 13 wins & 13 nominations.,13,14,0,1,0,0,0,0,0,0
8,5 wins & 4 nominations.,5,4,0,0,0,0,0,0,0,0
9,Nominated for 1 Golden Globe. Another 14 wins & 34 nominations.,14,35,0,0,1,0,0,0,0,0
10,3 wins & 2 nominations.,3,2,0,0,0,0,0,0,0,0
11,1 nomination.,0,1,0,0,0,0,0,0,0,0
12,5 nominations.,0,5,0,0,0,0,0,0,0,0
13,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
14,22 wins & 44 nominations.,22,44,0,0,0,0,0,0,0,0
15,1 win & 3 nominations.,1,3,0,0,0,0,0,0,0,0
16,1 win & 8 nominations.,1,8,0,0,0,0,0,0,0,0
17,2 nominations.,0,2,0,0,0,0,0,0,0,0
18,6 wins & 1 nomination.,6,1,0,0,0,0,0,0,0,0
19,Won 2 Golden Globes. Another 68 wins & 201 nominations.,70,201,0,0,0,0,0,0,2,0
20,Won 1 Golden Globe. Another 31 wins & 143 nominations.,32,143,0,0,0,0,0,0,1,0
21,Nominated for 4 Primetime Emmys. Another 16 nominations.,0,20,4,0,0,0,0,0,0,0
22,3 wins & 2 nominations.,3,2,0,0,0,0,0,0,0,0
23,3 wins & 6 nominations.,3,6,0,0,0,0,0,0,0,0
